"","X","X.1","X.2","par1","par2","par3","r2","id"
"154","cv",2,102.029206460885,4.45889828468425,-4.99709506307613,-4.93420529745493,0.0186864654203001,20
"155","cv",3,101.783096800374,1.0549682681319,4.26596839309901,-3.28200073246323,0.0210535399985274,20
"156","cv",4,101.798845157342,1.04056302668123,4.26542424085725,-3.05897924895103,0.0209020728218615,20
"157","cv",5,101.972077083992,1.44463823620775,4.02282825783634,-4.37500873856257,0.0192359338785174,20
"158","cv",6,101.924832013087,0.759078254836888,4.43500462222775,-1.38227312599404,0.0196903354085248,20
"159","cv",7,101.972077083992,1.80198289699489,3.95473715397964,-3.93823752734622,0.0192359338785174,20
"160","cv",8,102.186257341722,-4.99939085578791,1.59103708541128,4.98921704603497,0.0171759552406282,20
"161","cv",1,101.787711284584,-4.98340993698136,-2.79057345724504,-0.481627624651145,0.0210091580419538,21
"162","cv",2,102.616035204236,-4.99036136535539,-3.09028380149972,-1.09067319273163,0.0130423659677429,21
"163","cv",3,102.10213223374,-4.96540469092383,-2.37442138252979,-0.402807697187424,0.0179850677479608,21
"164","cv",4,103.494610279583,2.15358066145847,-4.5031376500615,-3.20521756489028,0.00459225993939771,21
"165","cv",5,101.800328941654,-4.9856201341384,-1.85903468753623,0.437887329244838,0.0208878018334037,21
"166","cv",6,101.697948732815,-4.99594959593879,-2.68148749994402,-0.357449166555471,0.0218724912972518,21
"167","cv",7,101.830997328618,-4.98466664265605,-0.940004525040602,1.54337180603554,0.0205928343015035,21
"168","cv",8,102.570457526698,-4.96392336901691,-2.52287426318945,-0.752881398177826,0.0134807305634717,21
"169","cv",1,101.508220014745,0.920912044238299,4.09724962014556,-3.69043175829574,0.0236972958350771,22
"170","cv",2,101.463829536286,0.731589828974591,4.21024785535485,-2.88172523267002,0.0241242419893136,22
"171","cv",3,101.298032520693,0.467306226006659,4.57077310125499,-3.27454252877222,0.0257188722039151,22
"172","cv",4,101.750844133303,-0.112356288987585,4.8408280896887,-2.0975158209202,0.0213637450841192,22
"173","cv",5,101.686322408866,1.18707239527544,4.01015148416197,-4.8429463676996,0.0219843128966183,22
"174","cv",6,102.080815063901,4.82821442688101,3.62959529347296,-2.90944603190194,0.0181900955827109,22
"175","cv",7,101.222457144472,0.128924395551045,4.68328805766802,-2.61544900494806,0.0264457536738307,22
"176","cv",8,101.458357023801,3.06987421204501,3.80569654403728,-2.46684863173199,0.0241768764334691,22
"177","cv",1,101.913545758745,2.71098860839784,-4.9247450402633,-3.30306000157094,0.0197988862296542,23
"178","cv",2,101.972077083992,0.728971099015325,4.48575408663601,-2.45299379559639,0.0192359338785174,23
"179","cv",3,102.171298975801,-2.05800485182246,-4.99943560206633,-0.300766400978007,0.0173198243095218,23
