"","id","cond","age","x","y","z","trial","round","agegroup"
"268",2,"Smooth",10,4,3,32,7,3,"9-11"
"269",2,"Smooth",10,5,1,45,8,3,"9-11"
"270",2,"Smooth",10,5,0,47,9,3,"9-11"
"271",2,"Smooth",10,6,0,43,10,3,"9-11"
"272",2,"Smooth",10,4,0,51,11,3,"9-11"
"273",2,"Smooth",10,4,1,45,12,3,"9-11"
"274",2,"Smooth",10,6,1,43,13,3,"9-11"
"275",2,"Smooth",10,3,0,48,14,3,"9-11"
"276",2,"Smooth",10,3,1,46,15,3,"9-11"
"277",2,"Smooth",10,7,1,33,16,3,"9-11"
"278",2,"Smooth",10,7,0,36,17,3,"9-11"
"279",2,"Smooth",10,2,0,48,18,3,"9-11"
"280",2,"Smooth",10,2,1,40,19,3,"9-11"
"281",2,"Smooth",10,2,0,45,20,3,"9-11"
"282",2,"Smooth",10,1,0,41,21,3,"9-11"
"283",2,"Smooth",10,1,1,37,22,3,"9-11"
"284",2,"Smooth",10,0,0,37,23,3,"9-11"
"285",2,"Smooth",10,0,1,32,24,3,"9-11"
"286",2,"Smooth",10,0,2,25,25,3,"9-11"
"287",2,"Smooth",10,2,6,15,0,4,"9-11"
"288",2,"Smooth",10,4,4,31,1,4,"9-11"
"289",2,"Smooth",10,4,3,41,2,4,"9-11"
"290",2,"Smooth",10,4,2,46,3,4,"9-11"
"291",2,"Smooth",10,4,1,49,4,4,"9-11"
"292",2,"Smooth",10,4,0,50,5,4,"9-11"
"293",2,"Smooth",10,3,0,50,6,4,"9-11"
"294",2,"Smooth",10,3,1,50,7,4,"9-11"
"295",2,"Smooth",10,3,2,47,8,4,"9-11"
"296",2,"Smooth",10,3,3,40,9,4,"9-11"
"297",2,"Smooth",10,3,4,32,10,4,"9-11"
"298",2,"Smooth",10,5,3,34,11,4,"9-11"
"299",2,"Smooth",10,5,2,41,12,4,"9-11"
"300",2,"Smooth",10,5,1,46,13,4,"9-11"
"301",2,"Smooth",10,5,0,49,14,4,"9-11"
"302",2,"Smooth",10,2,0,49,15,4,"9-11"
"303",2,"Smooth",10,2,1,46,16,4,"9-11"
"304",2,"Smooth",10,2,2,44,17,4,"9-11"
