,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
beta_trial__96,1.0892221513861127,0.7201183807219808,0.006390507198057937,-0.2863766151224886,2.519691851549819,4000.0,0.9999311587376332
beta_trial__97,4.917579249080792,0.5670688766008193,0.0054312202720215195,3.7739913037177963,5.983301867381468,4000.0,0.9997814930606634
beta_trial__98,4.3890593885761575,0.7440392845353205,0.006612091667352012,3.0304219844127935,5.92086719566792,4000.0,0.99978179342913
beta_trial__99,-2.51752398896372,0.7354829078236577,0.008010833912426973,-4.024776465455543,-1.1280689508269504,4000.0,0.9997538821618426
beta_trial__100,3.942350246374454,0.5832202796507476,0.0053340577118808205,2.84462000846439,5.130559312297939,4000.0,1.0003632959141358
beta_trial__101,-0.25717656648492043,0.7639743454982464,0.007564238420029179,-1.7995126718985794,1.212237091558517,4000.0,0.999759621538994
beta_trial__102,-0.7920480215299993,0.8165966304608316,0.007733152916470962,-2.327281314508958,0.846074448733614,4000.0,0.9998129143954767
beta_trial__103,1.3045616392177186,0.6523408057212358,0.006103310825836166,0.03485549183057324,2.5561139700965514,4000.0,0.9997940431245368
beta_trial__104,2.3058346480106837,0.7487991379201531,0.007389872104051095,0.8229644161352478,3.808764507560184,4000.0,0.9997508293296614
beta_trial__105,4.519429367435222,0.7509682976193977,0.007299375395936969,3.0011030697194956,5.910634173859756,4000.0,0.9998476099791577
beta_trial__106,5.156897460682099,0.805311662775106,0.007881134531797855,3.63578694393778,6.766370916947245,4000.0,0.999774541482078
beta_trial__107,1.3332488175707708,0.8240189235207668,0.008634255732442385,-0.22111375115873855,3.0157126167937642,4000.0,0.9997855981538105
beta_trial__108,2.6245055176586236,0.5271975412895022,0.005458947429309137,1.6384316400080619,3.688939197763724,4000.0,0.9998028805797778
beta_trial__109,5.801929400694395,0.6079492850467535,0.00559347715221732,4.590678152459716,6.939043104016014,4000.0,0.9997523498031461
beta_trial__110,-0.2234543019238779,0.7063775160439967,0.006255050839094933,-1.5663035676800723,1.2042344401386282,4000.0,0.9998765711918661
beta_trial__111,0.36935507453606703,0.6716208614878767,0.007108938293143871,-0.8906505080901612,1.6715532427570077,4000.0,0.9997910029495168
beta_trial__112,0.5659981453879193,0.8207449633608344,0.008311143104127162,-1.0799354921680735,2.143798503812292,4000.0,0.9997618677812361
beta_trial__113,2.8663397676824203,0.6559928668504518,0.008578746035029295,1.5493026739909368,4.092648617907731,4000.0,1.0000048219943243
beta_trial__114,0.7200038731029891,0.7992621325365572,0.007477834703807839,-0.7929258353772766,2.2959405937471944,4000.0,1.0000109188410375
beta_trial__115,3.15158062944493,0.6634211912494262,0.005977143805560669,1.8633385256378163,4.47866717661589,4000.0,0.9997549987879996
beta_trial__116,-0.17750080217860484,0.6933189317276307,0.006499192085240137,-1.486781368313099,1.1514913021747963,4000.0,0.9997845764119856
beta_trial__117,4.090130422897809,0.7450556784290436,0.007890454325698706,2.6533012244665146,5.54169568022315,4000.0,1.0000533346180809
beta_trial__118,-0.5810587002173379,0.6403778100395676,0.005620690607560343,-1.7302663258195439,0.7589558446877527,4000.0,1.0000782504940544
beta_trial__119,5.15745248143549,0.6806894026455493,0.006007162740621848,3.9329660024689996,6.565762680220646,4000.0,0.9998355647449835
beta_trial__120,2.5705800680014526,0.8279191302964733,0.007966075645134177,1.063975126663572,4.359168633672832,4000.0,0.9998981151731662
beta_trial__121,0.5110323671937143,0.7409053865617304,0.007318539672863268,-0.8970557832733678,1.9993105486031248,4000.0,0.9998411542461964
