"","X","X.1","X.2","par1","par2","par3","id","lambda","beta","tau"
"102","cv",6,104.953568109355,1.08242562838113,-4.9941892987219,0.103149695161569,13,2.95183091913224,0.00677721316783062,1.1086573572971
"103","cv",7,103.771069635478,-0.439791843639288,2.9634098639968,4.99999927647537,13,0.644170495314438,19.3638875326529,148.413051722039
"104","cv",8,105.044428498684,2.82847172205056,-4.99979646505311,0.235424506144836,13,16.9195832295354,0.00673931854634424,1.26544584426574
"105","cv",1,103.548035541594,-0.758659466216926,-4.87633018534493,-0.831953727149739,14,0.468293770047847,0.00762494488017018,0.435198196661434
"106","cv",2,104.281514179399,-0.545763576910592,-3.54699838739766,-1.05099662013929,14,0.579399198537564,0.02881098942407,0.349589167833307
"107","cv",3,103.94029934242,-0.450507166905494,-3.52542066193022,-0.942501357906407,14,0.637304849716203,0.0294394207204494,0.389651956354238
"108","cv",4,103.907448276875,-0.596157948805473,-3.75711380861081,-0.957379771338214,14,0.550924254290927,0.0233510387771929,0.383897468432457
"109","cv",5,108.388482970204,-0.52899488977139,-3.28395810080274,-1.61686738383075,14,0.589196879971703,0.037479614737908,0.198519611781049
"110","cv",6,103.866053047857,-0.57688563256428,-3.76663867912887,-0.965183339346069,14,0.561644813933344,0.0231296790413243,0.380913356931297
"111","cv",7,103.288697329537,-0.746565859784591,-4.66331136915731,0.124000225106831,14,0.473991514292128,0.00943516729350883,1.13201612582371
"112","cv",8,103.944805682722,-0.487226675105878,-4.21082660513695,-0.94745223544007,14,0.614327764349838,0.0148341013244402,0.387727604782735
"113","cv",1,103.940073172484,2.11704208582032,-0.556757225430706,-0.430260317021375,15,8.30653110770076,0.573064372623065,0.650339778172347
"114","cv",2,103.587963577335,2.16002187328645,-0.456990562452585,-0.355843812233176,15,8.67132732681563,0.633186315760439,0.700582034033854
"115","cv",3,104.895199515819,1.59179607852371,4.89139584150088,4.29392187467754,15,4.91256436069703,133.139285749529,73.2531957313709
"116","cv",4,104.596244081614,1.30584955625265,4.99896877252023,4.67325838284226,15,3.69082332419645,148.260190260943,107.045971549493
"117","cv",5,103.1380083978,2.09636066863303,-0.641219016213874,-0.251867174249734,15,8.13650452808147,0.526650037647952,0.777347983041064
"118","cv",6,105.822642059915,1.44936267626615,4.76640095269413,4.20807376600846,15,4.26039839672349,117.495607827507,67.2269202324782
